Place,Description,Location,Ages,Ticket Price,Event Start Date,Event End Date,Opening Hours
Saudi Book Fair,A book fair featuring publishers from across the Arab world and internationally. Riyadh International Exhibition Center,Riyadh,All,70 SAR per person,10/4/2023,10/14/2023,5:00 AM to 7:00 PM
Arab Music Festival,A celebration of traditional Arab music with performances from renowned musicians.Red Sea Concert Hall,Jeddah,Above 12,50 SAR per person,1/20/2024,1/25/2024,6:00 AM to 8:00 PM
Heritage Festival,A cultural festival celebrating Saudi heritage with performances,Al Ula,Above 15,20 SAR per person,11/5/2023,11/10/2023,5:30 AM to 7:30 PM
Saudi Film Showcase,An outdoor film festival showcasing the best of Saudi cinema in a historical setting.Diriyah,Riyadh,Adults,Free Pass,3/15/2024,3/20/2024,7:00 AM to 9:00 PM
Arts and Crafts Exhibition,An exhibition featuring local Saudi artists and craftsmen displaying their works.,Tabuk,Adults,50 SAR per person,2/18/2024,2/22/2024,6:30 AM to 8:30 PM
Traditional Dance Festival,A festival showcasing traditional Saudi dances from different regions.,Najran,Above 15,40 SAR per person,4/7/2024,4/10/2024,5:00 AM to 6:00 PM
Contemporary Art Festival,A festival celebrating modern and contemporary art with installations and workshops.,Dammam,Adults,50 SAR per person,12/10/2023,12/15/2023,6:00 AM to 7:00 PM
Film Directors Workshop,A workshop for aspiring Saudi film directors led by international filmmakers.,Jeddah,Above 15,30 SAR per person,5/5/2024,5/10/2024,5:00 AM to 7:00 PM
Cultural Cuisine Festival,A festival celebrating traditional Saudi cuisine with live cooking demonstrations.,Jazan ,Above 12,40 SAR per person,2/5/2024,2/10/2024,6:00 AM to 8:00 PM
Fashion Week Saudi Arabia,A showcase of the latest fashion designs from Saudi designers and international guests.King Abdulaziz Center,Riyadh,Adults,30 SAR per person,12/1/2023,12/5/2023,5:30 AM to 7:30 PM
Saudi Book Fair,A book fair featuring publishers from across the Arab world and internationally.Riyadh International Exhibition Center,Riyadh,All,40 SAR per person,10/4/2023,10/14/2023,7:00 AM to 9:00 PM
Arab Music Festival,A celebration of traditional Arab music with performances from renowned musicians.Red Sea Concert Hall,Jeddah,Adults,70 SAR per person,1/20/2024,1/25/2024,6:30 AM to 8:30 PM
Heritage Festival,A cultural festival celebrating Saudi heritage with performances,Al Ula,Adults,30 SAR per person,11/5/2023,11/10/2023,5:00 AM to 6:00 PM
Saudi Film Showcase,An outdoor film festival showcasing the best of Saudi cinema in a historical setting.Diriyah,Riyadh,Adults,60 SAR per person,3/15/2024,3/20/2024,6:00 AM to 7:00 PM
Arts and Crafts Exhibition,An exhibition featuring local Saudi artists and craftsmen displaying their works.,Tabuk,All,150 SAR per person,2/18/2024,2/22/2024,5:00 AM to 7:00 PM
Traditional Dance Festival,A festival showcasing traditional Saudi dances from different regions.,Najran,All,40 SAR per person,4/7/2024,4/10/2024,6:00 AM to 8:00 PM
Contemporary Art Festival,A festival celebrating modern and contemporary art with installations and workshops.,Dammam,Adults,40 SAR per person,12/10/2023,12/15/2023,5:30 AM to 7:30 PM
Film Directors Workshop,A workshop for aspiring Saudi film directors led by international filmmakers.,Jeddah,All,Free Pass,5/5/2024,5/10/2024,7:00 AM to 9:00 PM
Cultural Cuisine Festival,A festival celebrating traditional Saudi cuisine with live cooking demonstrations.,Jazan,Adults,40 SAR per person,2/5/2024,2/10/2024,6:30 AM to 8:30 PM
Fashion Week Saudi Arabia,A showcase of the latest fashion designs from Saudi designers and international guests.King Abdulaziz Center,Riyadh,Above 12,50 SAR per person,12/1/2023,12/5/2023,5:00 AM to 6:00 PM
Saudi Book Fair,A book fair featuring publishers from across the Arab world and internationally.Riyadh International Exhibition Center,Riyadh,Above 15,30 SAR per person,10/4/2023,10/14/2023,6:00 AM to 7:00 PM
Arab Music Festival,A celebration of traditional Arab music with performances from renowned musicians.Red Sea Concert Hall,Jeddah,Above 15,40 SAR per person,1/20/2024,1/25/2024,5:00 AM to 7:00 PM
Heritage Festival,A cultural festival celebrating Saudi heritage with performances,Al-Ula,Above 12,70 SAR per person,11/5/2023,11/10/2023,6:00 AM to 8:00 PM
Saudi Film Showcase,An outdoor film festival showcasing the best of Saudi cinema in a historical setting. Diriyah,Riyadh,Above 12,60 SAR per person,3/15/2024,3/20/2024,5:30 AM to 7:30 PM
Arts and Crafts Exhibition,An exhibition featuring local Saudi artists and craftsmen displaying their works.,Tabuk,Adults,50 SAR per person,2/18/2024,2/22/2024,7:00 AM to 9:00 PM
Traditional Dance Festival,A festival showcasing traditional Saudi dances from different regions.,Najran,Adults,150 SAR per person,4/7/2024,4/10/2024,6:30 AM to 8:30 PM
Contemporary Art Festival,A festival celebrating modern and contemporary art with installations and workshops.,Dammam,Above 15,40 SAR per person,12/10/2023,12/15/2023,5:00 AM to 6:00 PM
Film Directors Workshop,A workshop for aspiring Saudi film directors led by international filmmakers.,Jeddah,Above 15,40 SAR per person,5/5/2024,5/10/2024,6:00 AM to 7:00 PM
Cultural Cuisine Festival,A festival celebrating traditional Saudi cuisine with live cooking demonstrations.,Jazan,Above 12,Free Pass,2/5/2024,2/10/2024,5:00 AM to 7:00 PM
Fashion Week Saudi Arabia,A showcase of the latest fashion designs from Saudi designers and international guests.King Abdulaziz Center,Riyadh,Above 15,30 SAR per person,12/1/2023,12/5/2023,6:00 AM to 8:00 PM
Saudi Book Fair,A book fair featuring publishers from across the Arab world and internationally.Riyadh International Exhibition Center,Riyadh,Adults,30 SAR per person,10/4/2023,10/14/2023,5:30 AM to 7:30 PM
Arab Music Festival,A celebration of traditional Arab music with performances from renowned musicians.Red Sea Concert Hall,Jeddah,Above 15,Free Pass,1/20/2024,1/25/2024,7:00 AM to 9:00 PM
Heritage Festival,A cultural festival celebrating Saudi heritage with performances,Al-Ula,Above 12,70 SAR per person,11/5/2023,11/10/2023,6:30 AM to 8:30 PM
Saudi Film Showcase,An outdoor film festival showcasing the best of Saudi cinema in a historical setting. Diriyah,Riyadh,All,Free Pass,3/15/2024,3/20/2024,5:00 AM to 6:00 PM
Arts and Crafts Exhibition,An exhibition featuring local Saudi artists and craftsmen displaying their works.,Tabuk,Adults,70 SAR per person,2/18/2024,2/22/2024,6:00 AM to 7:00 PM
Traditional Dance Festival,A festival showcasing traditional Saudi dances from different regions.,Najran,All,70 SAR per person,4/7/2024,4/10/2024,5:00 AM to 7:00 PM
Contemporary Art Festival,A festival celebrating modern and contemporary art with installations and workshops.,Dammam,Above 15,120 SAR per person,12/10/2023,12/15/2023,6:00 AM to 8:00 PM
Film Directors Workshop,A workshop for aspiring Saudi film directors led by international filmmakers.,Jeddah,Above 12,30 SAR per person,5/5/2024,5/10/2024,5:30 AM to 7:30 PM
Cultural Cuisine Festival,A festival celebrating traditional Saudi cuisine with live cooking demonstrations.,Jazan,Above 15,Free Pass,2/5/2024,2/10/2024,7:00 AM to 9:00 PM
Fashion Week Saudi Arabia,A showcase of the latest fashion designs from Saudi designers and international guests.King Abdulaziz Center,Riyadh,Above 12,40 SAR per person,12/1/2023,12/5/2023,6:30 AM to 8:30 PM
Saudi Book Fair,A book fair featuring publishers from across the Arab world and internationally.Riyadh International Exhibition Center,Riyadh,Above 12,40 SAR per person,10/4/2023,10/14/2023,5:00 AM to 6:00 PM
Arab Music Festival,A celebration of traditional Arab music with performances from renowned musicians.Red Sea Concert Hall,Jeddah,Above 12,Free Pass,1/20/2024,1/25/2024,6:00 AM to 7:00 PM
Heritage Festival,A cultural festival celebrating Saudi heritage with performances,Al-Ula,Adults,50 SAR per person,11/5/2023,11/10/2023,5:00 AM to 7:00 PM
Saudi Film Showcase,An outdoor film festival showcasing the best of Saudi cinema in a historical setting.Diriyah,Riyadh,Adults,20 SAR per person,3/15/2024,3/20/2024,6:00 AM to 8:00 PM
Arts and Crafts Exhibition,An exhibition featuring local Saudi artists and craftsmen displaying their works.,Tabuk,Above 15,30 SAR per person,2/18/2024,2/22/2024,5:30 AM to 7:30 PM
Traditional Dance Festival,A festival showcasing traditional Saudi dances from different regions.,Najran,Above 15,60 SAR per person,4/7/2024,4/10/2024,7:00 AM to 9:00 PM
Contemporary Art Festival,A festival celebrating modern and contemporary art with installations and workshops.,Dammam,All,Free Pass,12/10/2023,12/15/2023,6:30 AM to 8:30 PM
Film Directors Workshop,A workshop for aspiring Saudi film directors led by international filmmakers.,Jeddah,Above 12,40 SAR per person,5/5/2024,5/10/2024,5:00 AM to 6:00 PM
Cultural Cuisine Festival,A festival celebrating traditional Saudi cuisine with live cooking demonstrations.,Jazan,Above 12,30 SAR per person,2/5/2024,2/10/2024,6:00 AM to 7:00 PM
Fashion Week Saudi Arabia,A showcase of the latest fashion designs from Saudi designers and international guests.King Abdulaziz Center,Riyadh,Above 15,10 SAR per person,12/1/2023,12/5/2023,5:00 AM to 7:00 PM
Saudi Book Fair,A book fair featuring publishers from across the Arab world and internationally.Riyadh International Exhibition Center,Riyadh,Above 15,40 SAR per person,10/4/2023,10/14/2023,6:00 AM to 8:00 PM
Arab Music Festival,A celebration of traditional Arab music with performances from renowned musicians.Red Sea Concert Hall,Jeddah,Above 15,40 SAR per person,1/20/2024,1/25/2024,5:30 AM to 7:30 PM
Heritage Festival,A cultural festival celebrating Saudi heritage with performances,Al-Ula,Above 12,20 SAR per person,11/5/2023,11/10/2023,7:00 AM to 9:00 PM
Saudi Film Showcase,An outdoor film festival showcasing the best of Saudi cinema in a historical setting. Diriyah,Riyadh,Above 15,20 SAR per person,3/15/2024,3/20/2024,6:30 AM to 8:30 PM
Arts and Crafts Exhibition,An exhibition featuring local Saudi artists and craftsmen displaying their works.,Tabuk,All,Free Pass,2/18/2024,2/22/2024,5:00 AM to 6:00 PM
Traditional Dance Festival,A festival showcasing traditional Saudi dances from different regions.,Najran,Adults,10 SAR per person,4/7/2024,4/10/2024,6:00 AM to 7:00 PM
Contemporary Art Festival,A festival celebrating modern and contemporary art with installations and workshops.,Dammam,Above 15,20 SAR per person,12/10/2023,12/15/2023,5:00 AM to 7:00 PM
Film Directors Workshop,A workshop for aspiring Saudi film directors led by international filmmakers.,Jeddah,Above 15,10 SAR per person,5/5/2024,5/10/2024,6:00 AM to 8:00 PM
Cultural Cuisine Festival,A festival celebrating traditional Saudi cuisine with live cooking demonstrations.,Jazan,Above 15,10 SAR per person,2/5/2024,2/10/2024,5:30 AM to 7:30 PM
Fashion Week Saudi Arabia,A showcase of the latest fashion designs from Saudi designers and international guests.King Abdulaziz Center,Riyadh,Above 15,50 SAR per person,12/1/2023,12/5/2023,7:00 AM to 9:00 PM
Saudi Book Fair,A book fair featuring publishers from across the Arab world and internationally.Riyadh International Exhibition Center,Riyadh,Adults,40 SAR per person,10/4/2023,10/14/2023,6:30 AM to 8:30 PM
Arab Music Festival,A celebration of traditional Arab music with performances from renowned musicians.Red Sea Concert Hall,Jeddah,Above 15,30 SAR per person,1/20/2024,1/25/2024,5:00 AM to 6:00 PM
Heritage Festival,A cultural festival celebrating Saudi heritage with performances,Al-Ula,Above 12,20 SAR per person,11/5/2023,11/10/2023,6:00 AM to 7:00 PM
Saudi Film Showcase,An outdoor film festival showcasing the best of Saudi cinema in a historical setting.Diriyah,Riyadh,Above 15,30 SAR per person,3/15/2024,3/20/2024,5:00 AM to 7:00 PM
Arts and Crafts Exhibition,An exhibition featuring local Saudi artists and craftsmen displaying their works.,Tabuk,Adults,40 SAR per person,2/18/2024,2/22/2024,6:00 AM to 8:00 PM
Traditional Dance Festival,A festival showcasing traditional Saudi dances from different regions.,Najran,Above 15,40 SAR per person,4/7/2024,4/10/2024,5:30 AM to 7:30 PM
Contemporary Art Festival,A festival celebrating modern and contemporary art with installations and workshops.,Dammam,Adults,50 SAR per person,12/10/2023,12/15/2023,7:00 AM to 9:00 PM
Film Directors Workshop,A workshop for aspiring Saudi film directors led by international filmmakers.,Jeddah,Above 12,40 SAR per person,5/5/2024,5/10/2024,6:30 AM to 8:30 PM
Cultural Cuisine Festival,A festival celebrating traditional Saudi cuisine with live cooking demonstrations.,Jazan,Above 12,90 SAR per person,2/5/2024,2/10/2024,5:00 AM to 6:00 PM
Fashion Week Saudi Arabia,A showcase of the latest fashion designs from Saudi designers and international guests.King Abdulaziz Center,Riyadh,Adults,70 SAR per person,12/1/2023,12/5/2023,6:00 AM to 7:00 PM
Saudi Book Fair,A book fair featuring publishers from across the Arab world and internationally. Riyadh International Exhibition Center,Riyadh,Above 12,150 SAR per person,10/4/2023,10/14/2023,5:00 AM to 7:00 PM
Arab Music Festival,A celebration of traditional Arab music with performances from renowned musicians. Red Sea Concert Hall,Jeddah,All,30 SAR per person,1/20/2024,1/25/2024,6:00 AM to 8:00 PM
Heritage Festival,A cultural festival celebrating Saudi heritage with performances,Al-Ula,Above 12,40 SAR per person,11/5/2023,11/10/2023,5:30 AM to 7:30 PM
Saudi Film Showcase,An outdoor film festival showcasing the best of Saudi cinema in a historical setting.Diriyah,Riyadh,All,10 SAR per person,3/15/2024,3/20/2024,7:00 AM to 9:00 PM
Arts and Crafts Exhibition,An exhibition featuring local Saudi artists and craftsmen displaying their works.,Tabuk,Above 15,90 SAR per person,2/18/2024,2/22/2024,6:30 AM to 8:30 PM
Traditional Dance Festival,A festival showcasing traditional Saudi dances from different regions.,Najran,Adults,30 SAR per person,4/7/2024,4/10/2024,5:00 AM to 6:00 PM
Contemporary Art Festival,A festival celebrating modern and contemporary art with installations and workshops.,Dammam,Above 15,30 SAR per person,12/10/2023,12/15/2023,6:00 AM to 7:00 PM
Film Directors Workshop,A workshop for aspiring Saudi film directors led by international filmmakers.,Jeddah,Above 15,40 SAR per person,5/5/2024,5/10/2024,5:00 AM to 7:00 PM
Cultural Cuisine Festival,A festival celebrating traditional Saudi cuisine with live cooking demonstrations.,Jazan,Above 12,70 SAR per person,2/5/2024,2/10/2024,6:00 AM to 8:00 PM
Fashion Week Saudi Arabia,A showcase of the latest fashion designs from Saudi designers and international guests.King Abdulaziz Center,Riyadh,Above 15,10 SAR per person,12/1/2023,12/5/2023,5:30 AM to 7:30 PM
Saudi Book Fair,A book fair featuring publishers from across the Arab world and internationally.Riyadh International Exhibition Center,Riyadh,All,20 SAR per person,10/4/2023,10/14/2023,7:00 AM to 9:00 PM
Arab Music Festival,A celebration of traditional Arab music with performances from renowned musicians.Red Sea Concert Hall,Jeddah,Above 12,30 SAR per person,1/20/2024,1/25/2024,6:30 AM to 8:30 PM
Heritage Festival,A cultural festival celebrating Saudi heritage with performances,Al-Ula,Adults,50 SAR per person,11/5/2023,11/10/2023,5:00 AM to 6:00 PM
Saudi Film Showcase,An outdoor film festival showcasing the best of Saudi cinema in a historical setting.Diriyah,Riyadh,Adults,10 SAR per person,3/15/2024,3/20/2024,6:00 AM to 7:00 PM
Arts and Crafts Exhibition,An exhibition featuring local Saudi artists and craftsmen displaying their works.,Tabuk,All,10 SAR per person,2/18/2024,2/22/2024,5:00 AM to 7:00 PM
Traditional Dance Festival,A festival showcasing traditional Saudi dances from different regions.,Najran,Above 15,40 SAR per person,4/7/2024,4/10/2024,6:00 AM to 8:00 PM
Contemporary Art Festival,A festival celebrating modern and contemporary art with installations and workshops.,Dammam,Adults,60 SAR per person,12/10/2023,12/15/2023,5:30 AM to 7:30 PM
Film Directors Workshop,A workshop for aspiring Saudi film directors led by international filmmakers.,Jeddah,Adults,120 SAR per person,5/5/2024,5/10/2024,7:00 AM to 9:00 PM
Cultural Cuisine Festival,A festival celebrating traditional Saudi cuisine with live cooking demonstrations.,Jazan,Above 15,30 SAR per person,2/5/2024,2/10/2024,6:30 AM to 8:30 PM
Fashion Week Saudi Arabia,A showcase of the latest fashion designs from Saudi designers and international guests.King Abdulaziz Center,Riyadh,Above 15,Free Pass,12/1/2023,12/5/2023,5:00 AM to 6:00 PM
Saudi Book Fair,A book fair featuring publishers from across the Arab world and internationally. Riyadh International Exhibition Center,Riyadh,Above 12,50 SAR per person,10/4/2023,10/14/2023,6:00 AM to 7:00 PM
Arab Music Festival,A celebration of traditional Arab music with performances from renowned musicians.Red Sea Concert Hall,Jeddah,Adults,30 SAR per person,1/20/2024,1/25/2024,5:00 AM to 7:00 PM
Heritage Festival,A cultural festival celebrating Saudi heritage with performances,Al-Ula,Above 12,20 SAR per person,11/5/2023,11/10/2023,6:00 AM to 8:00 PM
Saudi Film Showcase,An outdoor film festival showcasing the best of Saudi cinema in a historical setting.Diriyah,Riyadh,Above 12,20 SAR per person,3/15/2024,3/20/2024,5:30 AM to 7:30 PM
"Jawad Al Ali, Fouad Abdelwahed and Ayedh Concert",At the first concert of Riyadh Season we will experience a magical musical night. ABO BAKER SALIM STAGE,Riyadh,Above 15,50 SAR per person,10/17/2024,10/17/2024,7:00 AM to 9:00 PM
Sky Night - Sky Garden,A pleasant night presented to you by Sky Garden,Jeddah,Above 12,20 SAR per person,10/8/2024,10/8/2024,6:30 AM to 8:30 PM
Layali Alkhaima Musical Night,A magical musical night lead by musician Oud Rayan and his musician friends.Dar Al Hikma University,Jeddah,Above 15,40 SAR per person,10/4/2024,10/5/2024,5:00 AM to 6:00 PM
TotalEnergies CAF Super Cup,Riyadh hosts a major African Derby,Riyadh,Adults,Free Pass,9/27/2024,9/27/2024,6:00 AM to 7:00 PM
Naval-shows-Airshows-ND94-Khobar,National day 94 airshows.PSTC - Corniche , Khobar,Adults,150 SAR per person,9/26/2024,9/27/2024,5:00 AM to 7:00 PM
Alula Sky ND94,Alula Sky National day events 94.Alula balloons,AI-Ula,Adults,60 SAR per person,9/26/2024,10/5/2024,6:00 AM to 8:00 PM
Sky Night - Sky Garden,A pleasant night presented to you by Sky Garden,Jeddah,Above 12,30 SAR per person,9/24/2024,9/24/2024,5:30 AM to 7:30 PM
ND94-Fireworks-Skaka,The Kingdom's skies celebrate the 94th National Day through fireworks in most cities of the Kingdom.Rabwa Walk,Skaka,Above 15,120 SAR per person,9/23/2024,9/23/2024,7:00 AM to 9:00 PM
ND94-Fireworks-Jezan,The Kingdom's skies celebrate the 94th National Day through fireworks in most cities of the Kingdom.South Cornice,Jazan,Above 12,40 SAR per person,9/23/2024,9/23/2024,6:30 AM to 8:30 PM
Majed Almohandes ND94,On September 23rd,Dammam,Adults,Free Pass,9/23/2024,9/23/2024,5:00 AM to 6:00 PM
ND94-Fireworks-Buridah,The Kingdom's skies celebrate the 94th National Day through fireworks in most cities of the Kingdom.Al shrq Park ,Qassim,Above 15,Free Pass,9/23/2024,9/23/2024,6:00 AM to 7:00 PM
ND94-Fireworks-Tabouk,The Kingdom's skies celebrate the 94th National Day through fireworks in most cities of the Kingdom.Alnatheem Park , Tabouk,Above 15,50 SAR per person,9/23/2024,9/23/2024,5:00 AM to 7:00 PM
ND94-Fireworks-Almadinah,The Kingdom's skies celebrate the 94th National Day through fireworks in most cities of the Kingdom.Alzahoor Park,Almadina,Above 12,30 SAR per person,9/23/2024,9/23/2024,6:00 AM to 8:00 PM
ND94-Fireworks-Abha,The Kingdom's skies celebrate the 94th National Day through fireworks in most cities of the Kingdom.Hills Park,Abha,All,10 SAR per person,9/23/2024,9/23/2024,5:30 AM to 7:30 PM
ND94-Fireworks-Hail,The Kingdom's skies celebrate the 94th National Day through fireworks in most cities of the Kingdom.Aja ParkmHail,Hail,Above 15,Free Pass,9/23/2024,9/23/2024,7:00 AM to 9:00 PM
ND94-Fireworks-Arar,The Kingdom's skies celebrate the 94th National Day through fireworks in most cities of the Kingdom.Alshamal Park,Arar,Above 12,40 SAR per person,9/23/2024,9/23/2024,6:30 AM to 8:30 PM
ND94-Fireworks-Najran,The Kingdom's skies celebrate the 94th National Day through fireworks in most cities of the Kingdom.Mountain Najran,Najran,All,Free Pass,9/23/2024,9/23/2024,5:00 AM to 6:00 PM
ND94-Fireworks-Albaha,The Kingdom's skies celebrate the 94th National Day through fireworks in most cities of the Kingdom.Prince Hussam Park,Albaha,All,90 SAR per person,9/23/2024,9/23/2024,6:00 AM to 7:00 PM
Fireworks-Riyadh,The Kingdom's skies celebrate the 94th National Day through fireworks in most cities of the Kingdom.Um Ajlan Park,Riyadh,All,20 SAR per person,9/23/2024,9/23/2024,5:00 AM to 7:00 PM
ND94-Fireworks-Jeddah,The Kingdom's skies celebrate the 94th National Day through fireworks in most cities of the Kingdom.Promenade Walk,Jeddah,All,120 SAR per person,9/23/2024,9/23/2024,6:00 AM to 8:00 PM
ND94-Fireworks-Khobar,The Kingdom's skies celebrate the 94th National Day through fireworks in most cities of the Kingdom.Al Khobar Northern Corniche,Al Khobar,Above 12,60 SAR per person,9/23/2024,9/23/2024,5:30 AM to 7:30 PM
National day Events ND94,National Day Events 94.King fahad Park Almadinah,Almadina,All,Free Pass,9/23/2024,9/23/2024,7:00 AM to 9:00 PM
Saudi Folklore,Showcasing Saudi folklore with traditions,Jeddah,All,20 SAR per person,9/23/2024,9/23/2024,6:30 AM to 8:30 PM
National day Events ND94,National Day Events 94.Thuwal Cornech,Jeddah,Above 15,40 SAR per person,9/23/2024,9/23/2024,5:00 AM to 6:00 PM
National day Events ND94 - Taif1,National Day Events 94.King Abdullah Park,Taif,Adults,Free Pass,9/23/2024,9/23/2024,6:00 AM to 7:00 PM
Naval-shows-Airshows-ND94-Jeddah,National day 94 Naveal shows.Roshn front sea,Jeddah,Adults,50 SAR per person,9/23/2024,9/23/2024,5:00 AM to 7:00 PM
Naval-shows-ND94-Khobar,National day 94 Naveal shows.Khobar Corniche sea front,Al Khobar,Adults,10 SAR per person,9/23/2024,9/23/2024,6:00 AM to 8:00 PM
Naval-shows-Airshows-ND94-Jazan,National day 94 Naveal shows.South Cornice,Jazan,Above 15,50 SAR per person,9/23/2024,9/23/2024,5:30 AM to 7:30 PM
Naval-shows-Airshows-ND94-Umluj,National day 94 Naveal shows.Umluj Cornich,Umluj,Adults,90 SAR per person,9/23/2024,9/23/2024,7:00 AM to 9:00 PM
Naval-shows-Airshows-ND94-Alwajh,National day 94 Naveal shows.Al wejh Cornich,Al Wejh,Above 15,30 SAR per person,9/23/2024,9/23/2024,6:30 AM to 8:30 PM
Naval-shows-Airshows-ND94-Yanbu,National day 94 Naveal shows.Shran Yanbu,Yanbu,Above 15,150 SAR per person,9/23/2024,9/23/2024,5:00 AM to 6:00 PM
Naval-shows-Airshows-ND94-Asir,National day 94 Naveal shows.Sea front,Asir,Adults,20 SAR per person,9/23/2024,9/23/2024,6:00 AM to 7:00 PM
Henna Corner,The corner offers henna art,Jeddah,All,70 SAR per person,9/23/2024,9/23/2024,5:00 AM to 7:00 PM
A display of naval vessels with a diver deployment,A display of naval vessels with a diver deployment.Jeddah Yacht Club,Jeddah,Above 15,20 SAR per person,9/22/2024,9/22/2024,6:00 AM to 8:00 PM
EZZ ALWATAN 3,The Ministry of Interior's celebrations on the 94th National Day (Ezz Al Watan 3).king saud university arena,Riyadh,Above 15,30 SAR per person,9/22/2024,9/23/2024,5:30 AM to 7:30 PM
Saqer Aljazirzh Royal Air Force Museum,Saqer Aljazirzh Royal Air Force Museun.Saqer Aljazirzh Royal Air Force Museum,Riyadh,All,40 SAR per person,9/21/2024,9/23/2024,7:00 AM to 9:00 PM
Shojaa,SHOJAA is a unique theatrical musical show that celebrates “The Saudi Camel”.The club theater,Jeddah,All,20 SAR per person,9/20/2024,9/23/2024,6:30 AM to 8:30 PM
Face painting,The corner offers face painting with national colors allowing visitors to enjoy it.Jeddah Yacht Club,Jeddah,Above 12,120 SAR per person,9/20/2024,9/23/2024,5:00 AM to 6:00 PM
Art installations,Display of national-themed models in celebration of National Day.Jeddah Yacht Club,Jeddah,All,70 SAR per person,9/20/2024,9/23/2024,6:00 AM to 7:00 PM
Giveaways,Engaging visitors in the celebration and distributing balloons and flags.Jeddah Yacht Club,Jeddah,All,150 SAR per person,9/20/2024,9/23/2024,5:00 AM to 7:00 PM
Saudi Folklore Promenad ND94,Showcasing Saudi folklore with traditions,Jeddah,Above 15,150 SAR per person,9/20/2024,9/23/2024,6:00 AM to 8:00 PM
Face painting Promenad ND94,The corner offers face painting with national colors,Jeddah,All,70 SAR per person,9/20/2024,9/23/2024,5:30 AM to 7:30 PM
Henna Corner Promenad ND94,The corner offers henna art,Jeddah,Above 15,20 SAR per person,9/20/2024,9/23/2024,7:00 AM to 9:00 PM
Giveaways Promenad ND94,Engaging visitors in the celebration and distributing balloons and flags.Jeddah Promenade,Jeddah,Above 15,30 SAR per person,9/20/2024,9/23/2024,6:30 AM to 8:30 PM
Alula Concert,Alula Concert.Azimuth Alula,Al-Ula,Adults,60 SAR per person,9/19/2024,9/21/2024,5:00 AM to 6:00 PM
Angham in Jeddah concerts,A beautiful musical night with the Egyptian star Angham,Jeddah,All,30 SAR per person,9/13/2024,9/13/2024,6:00 AM to 7:00 PM
Vocally nights in myadeen,Mohammed mohsen in Vocally nights in myadeen.Vocally Theatre,Diriyah,Above 15,Free Pass,9/12/2024,9/14/2024,5:00 AM to 7:00 PM
Sky Night - Sky Garden,A pleasant night presented to you by Sky Garden,Jeddah,Adults,Free Pass,9/10/2024,9/10/2024,6:00 AM to 8:00 PM
Tamer Ashor in Jeddah concerts,A special concert performed by Artist Tamer Ashor.Abadi Al-Jawhar Arena,Jeddah,Above 15,10 SAR per person,9/6/2024,9/6/2024,5:30 AM to 7:30 PM
Sky Night - Sky Garden,A pleasant night presented to you by Sky Garden,Jeddah,Above 15,50 SAR per person,8/30/2024,8/30/2024,7:00 AM to 9:00 PM
Mohamed Hamaki in Jeddah concerts,On the Abadi AlJohar Arena at Jeddah concerts,Jeddah,Above 12,60 SAR per person,8/30/2024,8/30/2024,6:30 AM to 8:30 PM
Sky Night - Sky Garden,A pleasant night presented to you by Sky Garden,Jeddah,All,60 SAR per person,8/27/2024,8/27/2024,5:00 AM to 6:00 PM
Mohamed Hamaki - Around The Kingdom 24,On the Abu Bakr Salem Stage at Kingdom Tour,Riyadh,All,50 SAR per person,8/22/2024,8/22/2024,6:00 AM to 7:00 PM
Cairokee & Ahmed Saad in Jeddah concerts,A musical night with Cairokee & Ahmed Saad in Jeddah at the Abadi AlJohar Arena.Abadi Al-Jawhar Arena,Jeddah,All,70 SAR per person,8/22/2024,8/22/2024,5:00 AM to 7:00 PM
Flight Mode - Around The Kingdom 24,A regular passenger plane is heading from Cairo to Istanbul,Jeddah,Adults,60 SAR per person,8/21/2024,8/30/2024,6:00 AM to 8:00 PM
Sky Night - Sky Garden,A pleasant night presented to you by Sky Garden,Jeddah,Above 15,30 SAR per person,8/20/2024,8/20/2024,5:30 AM to 7:30 PM
Sky Night - Sky Garden,A pleasant night presented to you by Sky Garden,Jeddah,Above 15,20 SAR per person,8/16/2024,8/16/2024,7:00 AM to 9:00 PM
Nancy Ajram & Ayed - Around The Kingdom 24,An extraordinary night,Riyadh,Above 12,50 SAR per person,8/16/2024,8/16/2024,6:30 AM to 8:30 PM
Abdul Majeed Abdullah - Around The Kingdom 24,A memorable performance with the artist,Abha,Adults,40 SAR per person,8/16/2024,8/16/2024,5:00 AM to 6:00 PM
Tamer Hosny in Jeddah concerts,Get ready for an electrifying musical night!.Abadi Al-Jawhar Arena,Jeddah,Above 15,20 SAR per person,8/15/2024,8/15/2024,6:00 AM to 7:00 PM
Terms and conditions apply - Around The Kingdom 24,A young cook loves the daughter of the manager of the restaurant where he works.City Walk,Jeddah,Adults,90 SAR per person,8/14/2024,8/17/2024,5:00 AM to 7:00 PM
Upside down house - Around The Kingdom 24,Three families who have no relation to each other meet in a house that was sold to them.Bakr Al Sheddy Theater- Boulevard,Riyadh,Above 12,50 SAR per person,8/14/2024,8/18/2024,6:00 AM to 8:00 PM
Sky Night - Sky Garden,A pleasant night presented to you by Sky Garden,Jeddah,All,40 SAR per person,8/13/2024,8/13/2024,5:30 AM to 7:30 PM
